Title,Ingredients
Bánh hành chiên,"1
 
quả
 
trứng
1
 
tsp
 
men khô
¼
 
tsp
 
baking soda
¼
 
tsp
 
baking powder
1
 
tsp
 
muối
200
 
ml
 
nước ấm
300
 
g
 
bột mì đa dụng
100
 
g
 
hành lá
 - 
thái nhỏ
50
 
g
 
vừng trắng"
Bánh mì cà rốt,"600
 
g
 
bột bánh mì
1
 
tsp
 
muối
30
 
g
 
đường trắng
200
 
ml
 
sữa tươi
 - 
ấm
12
 
g
 
men khô
170
 
ml
 
nước ép cà rốt
120
 
g
 
cà rốt bào sợi
40
 
g
 
bơ nhạt"
Apple crisp cheesecake pie,"Đế bánh:
1
 
cup
 
bột mì nguyên cám
 - 
whole meal flour
½
 
tsp
 
muối
1
 
tsp
 
baking powder
¼
 
cup
 
đường nâu
100
 
g
 
bơ nhạt
 - 
lạnh, cắt hạt lựu"
Pumpkin buns,"Vỏ bánh
520
 
g
 
bột bánh mì
200
 
g
 
bí đỏ hấp chín nghiền nhuyễn
40
 
g
 
đường trắng
7
 
g
 
men khô
 - 
instant yeast
1
 
tsp
 
muối
2
 
quả
 
trứng
120
 
ml
 
sữa tươi không đường"
Salted caramel cheesecake,"Đế bánh
1
 
cup
 
bột mì nguyên cám
 - 
whole wheat flour
½
 
tsp
 
muối
1
 
tsp
 
baking powder
¼
 
cup
 
đường nâu
 - 
brown sugar
100
 
g
 
bơ nhạt
 - 
lạnh, cắt khối vuông nhỏ"
Bánh mì bơ tỏi phô mai Hàn Quốc,"Bánh mì
1
 
cup
 
sữa tươi không đường
 - 
nhiệt độ phòng
50
 
g
 
đường trắng
10
 
g
 
men khô
 - 
instant yeast
500
 
g
 
bột bánh  mì
1
 
tsp
 
muối
2
 
quả
 
trứng
40
 
g
 
bơ nhạt, mềm"
Chè trôi nước,"400
 
g
 
bột gạo nếp
50
 
g
 
bột gạo tẻ
200
 
g
 
đường thốt nốt
50
 
g
 
đậu xanh cà vỏ
20
 
g
 
gừng tươi
 - 
thái sợi"
Quince crumble,"Quince filling:
4
 
quả 
 
quince chín
 - 
gọt vỏ, thái lát
½
 
cup
 
đường trắng
2
 
tbsp
 
bột quế
3
 
tbsp
 
dấm táo 
 - 
apple cider vinegar"
Oreo cheesecake,"⅔
 
công thức
 - 
homemade oreo
1
 
công thức
 - 
oreo cheesecake
1
 
gói
 
bánh oreo mua sẵn
250
 
ml
 
whipping cream"
Pizza cuộn,"1
 
công thức
 
đế bánh pizza dày
 - 
pan pizza"
